"BehaviorSpace results (NetLogo 6.2.0)"
"ModeloBásico.nlogo"
"clientes-tiendas"
"10/03/2021 15:09:47:619 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-clientes","num-productos","num-tiendas","tam-lista","[step]","ticks"
"667","6","6","8","4","1091","1091"
"669","6","6","8","4","1199","1199"
"670","6","6","8","4","1196","1196"
"672","6","6","8","4","821","821"
"665","6","6","8","4","1792","1792"
"671","6","6","8","4","1287","1287"
"674","6","6","8","4","1242","1242"
"673","6","6","8","4","1284","1284"
"676","6","6","8","4","1500","1500"
"675","6","6","8","4","1885","1885"
"679","6","6","8","4","990","990"
"677","6","6","8","4","1266","1266"
"678","6","6","8","4","1703","1703"
"682","6","6","8","4","946","946"
"680","6","6","8","4","1060","1060"
"683","6","6","8","4","1118","1118"
"687","6","6","8","4","846","846"
"685","6","6","8","4","883","883"
"686","6","6","8","4","1228","1228"
"690","6","6","8","4","453","453"
"684","6","6","8","4","1867","1867"
"688","6","6","8","4","1348","1348"
"681","6","6","8","4","1088","1088"
"689","6","6","8","4","1317","1317"
"692","6","6","8","4","1006","1006"
"691","6","6","8","4","1449","1449"
"694","6","6","8","4","1029","1029"
"696","6","6","8","4","1035","1035"
"699","6","6","8","4","598","598"
"693","6","6","8","4","1686","1686"
"702","6","6","10","4","504","504"
"695","6","6","8","4","1547","1547"
"701","6","6","10","4","1302","1302"
"697","6","6","8","4","1377","1377"
"703","6","6","10","4","752","752"
"700","6","6","8","4","2067","2067"
"705","6","6","10","4","997","997"
"706","6","6","10","4","1267","1267"
"698","6","6","8","4","2363","2363"
"708","6","6","10","4","840","840"
"704","6","6","10","4","1823","1823"
"707","6","6","10","4","1042","1042"
"709","6","6","10","4","627","627"
"710","6","6","10","4","694","694"
"713","6","6","10","4","736","736"
"711","6","6","10","4","1179","1179"
"718","6","6","10","4","604","604"
"712","6","6","10","4","1069","1069"
"714","6","6","10","4","1159","1159"
"716","6","6","10","4","1356","1356"
"715","6","6","10","4","1842","1842"
"722","6","6","10","4","693","693"
"720","6","6","10","4","1024","1024"
"719","6","6","10","4","1150","1150"
"717","6","6","10","4","2156","2156"
"725","6","6","10","4","748","748"
"723","6","6","10","4","920","920"
"727","6","6","10","4","667","667"
"721","6","6","10","4","679","679"
"726","6","6","10","4","1197","1197"
"728","6","6","10","4","684","684"
"732","6","6","10","4","674","674"
"731","6","6","10","4","830","830"
"729","6","6","10","4","778","778"
"724","6","6","10","4","2232","2232"
"730","6","6","10","4","2069","2069"
"735","6","6","10","4","854","854"
"736","6","6","10","4","776","776"
"734","6","6","10","4","1582","1582"
"737","6","6","10","4","1276","1276"
"741","6","6","10","4","942","942"
"738","6","6","10","4","1305","1305"
"739","6","6","10","4","1205","1205"
"742","6","6","10","4","1392","1392"
"740","6","6","10","4","1695","1695"
"743","6","6","10","4","1349","1349"
"733","6","6","10","4","1666","1666"
"745","6","6","10","4","838","838"
"747","6","6","10","4","1000","1000"
"744","6","6","10","4","1271","1271"
"750","6","6","10","4","822","822"
"748","6","6","10","4","990","990"
"749","6","6","10","4","1417","1417"
"746","6","6","10","4","1895","1895"
